speaker,cg,generation,sampler,sampled_w_idx,selected_u,listener_belief,speaker_belief,location_pref,name,school/company,major,w_idx,cg_speaker_prob,cg_listener_prob
b,approx,4,threshold,-1,NULL,0.047619047619047616,0.1345192290353627,outdoor,Gwen,University of New Orleans,German,4,0.1377154040667305,0.13143697983733119
b,approx,4,threshold,-1,NULL,0.047619047619047616,0.1345192290353627,indoor,Diana,University of New Orleans,German,5,0.1377154040667305,0.13143697983733119
b,approx,4,threshold,-1,NULL,0.23809523809523808,0.11223344556677889,outdoor,Felicity,University of New Orleans,Astronomy,6,0.0827129859387924,0.09057971014492755
b,approx,4,threshold,-1,NULL,0.047619047619047616,0.11223344556677889,indoor,Tara,University of New Orleans,Astronomy,7,0.0827129859387924,0.09057971014492755
a,approx,5,threshold,0,They like being outdoors,0,0,undefined,undefined,undefined,undefined,-1,0.07548309178743963,0.06362537379907109
a,approx,5,threshold,0,They like being outdoors,0.15219301842240363,0.47619047619047616,outdoor,Nancy,University of New Orleans,German,0,0.16332776036547628,0.1950762705909011
a,approx,5,threshold,0,They like being outdoors,0.12564367608355456,0.047619047619047616,indoor,Sally,University of New Orleans,German,1,0.11465396607758632,0.11484512087759931
a,approx,5,threshold,0,They like being outdoors,0.1243874465125447,0.047619047619047616,outdoor,Katie,University of New Orleans,Astronomy,2,0.1155687621398963,0.10934898827149768
a,approx,5,threshold,0,They like being outdoors,0.10458116518722578,0.047619047619047616,indoor,Ina,University of New Orleans,Astronomy,3,0.0792572463768116,0.0683972768340014
a,approx,5,threshold,0,They like being outdoors,0.14776565293393243,0.047619047619047616,outdoor,Gwen,University of New Orleans,German,4,0.15623579851771427,0.17819827216185188
a,approx,5,threshold,0,They like being outdoors,0.12229020821396608,0.047619047619047616,indoor,Diana,University of New Orleans,German,5,0.10953081653110931,0.10593492620517732
a,approx,5,threshold,0,They like being outdoors,0.12110842758566466,0.23809523809523808,outdoor,Felicity,University of New Orleans,Astronomy,6,0.1104594664165267,0.1009483974608292
a,approx,5,threshold,0,They like being outdoors,0.10203040506070807,0.047619047619047616,indoor,Tara,University of New Orleans,Astronomy,7,0.07548309178743963,0.06362537379907109
b,approx,6,threshold,-1,NULL,0,0,undefined,undefined,undefined,undefined,-1,0.06362537379907109,0.07548309178743963
b,approx,6,threshold,-1,NULL,0.47619047619047616,0.15219301842240363,outdoor,Nancy,University of New Orleans,German,0,0.1950762705909011,0.16332776036547628
b,approx,6,threshold,-1,NULL,0.047619047619047616,0.12564367608355456,indoor,Sally,University of New Orleans,German,1,0.11484512087759931,0.11465396607758632
b,approx,6,threshold,-1,NULL,0.047619047619047616,0.1243874465125447,outdoor,Katie,University of New Orleans,Astronomy,2,0.10934898827149768,0.1155687621398963
b,approx,6,threshold,-1,NULL,0.047619047619047616,0.10458116518722578,indoor,Ina,University of New Orleans,Astronomy,3,0.0683972768340014,0.0792572463768116
b,approx,6,threshold,-1,NULL,0.047619047619047616,0.14776565293393243,outdoor,Gwen,University of New Orleans,German,4,0.17819827216185188,0.15623579851771427
b,approx,6,threshold,-1,NULL,0.047619047619047616,0.12229020821396608,indoor,Diana,University of New Orleans,German,5,0.10593492620517732,0.10953081653110931
b,approx,6,threshold,-1,NULL,0.23809523809523808,0.12110842758566466,outdoor,Felicity,University of New Orleans,Astronomy,6,0.1009483974608292,0.1104594664165267
b,approx,6,threshold,-1,NULL,0.047619047619047616,0.10203040506070807,indoor,Tara,University of New Orleans,Astronomy,7,0.06362537379907109,0.07548309178743963
a,approx,7,threshold,0,They are a student,0,0,undefined,undefined,undefined,undefined,-1,0.06290257648953301,0.04894259523005469
a,approx,7,threshold,0,They are a student,0.168392256614302,0.47619047619047616,outdoor,Nancy,University of New Orleans,German,0,0.19117057339344443,0.2536125945748401
a,approx,7,threshold,0,They are a student,0.13638447437712828,0.047619047619047616,indoor,Sally,University of New Orleans,German,1,0.1361770479501328,0.14027789726372647
a,approx,7,threshold,0,They are a student,0.13507586758662338,0.047619047619047616,outdoor,Katie,University of New Orleans,Astronomy,2,0.13663398150448192,0.13281159256608385
a,approx,7,threshold,0,They are a student,0.11178858888169976,0.047619047619047616,indoor,Ina,University of New Orleans,Astronomy,3,0.09669150961841622,0.0791961129599646
a,approx,7,threshold,0,They are a student,0.1343324117581204,0.047619047619047616,outdoor,Gwen,University of New Orleans,German,4,0.13019649876476186,0.13707559397065533
a,approx,7,threshold,0,They are a student,0.111172916558151,0.047619047619047616,indoor,Diana,University of New Orleans,German,5,0.09127568044259109,0.08148840477321333
a,approx,7,threshold,0,They are a student,0.11009857053242243,0.23809523809523808,outdoor,Felicity,University of New Orleans,Astronomy,6,0.09204955534710557,0.07765261343140709
a,approx,7,threshold,0,They are a student,0.0927549136915528,0.047619047619047616,indoor,Tara,University of New Orleans,Astronomy,7,0.06290257648953301,0.04894259523005469
b,approx,8,threshold,-1,NULL,0,0,undefined,undefined,undefined,undefined,-1,0.04894259523005469,0.06290257648953301
b,approx,8,threshold,-1,NULL,0.47619047619047616,0.168392256614302,outdoor,Nancy,University of New Orleans,German,0,0.2536125945748401,0.19117057339344443
b,approx,8,threshold,-1,NULL,0.047619047619047616,0.13638447437712828,indoor,Sally,University of New Orleans,German,1,0.14027789726372647,0.1361770479501328
b,approx,8,threshold,-1,NULL,0.047619047619047616,0.13507586758662338,outdoor,Katie,University of New Orleans,Astronomy,2,0.13281159256608385,0.13663398150448192
b,approx,8,threshold,-1,NULL,0.047619047619047616,0.11178858888169976,indoor,Ina,University of New Orleans,Astronomy,3,0.0791961129599646,0.09669150961841622
b,approx,8,threshold,-1,NULL,0.047619047619047616,0.1343324117581204,outdoor,Gwen,University of New Orleans,German,4,0.13707559397065533,0.13019649876476186
b,approx,8,threshold,-1,NULL,0.047619047619047616,0.111172916558151,indoor,Diana,University of New Orleans,German,5,0.08148840477321333,0.09127568044259109
b,approx,8,threshold,-1,NULL,0.23809523809523808,0.11009857053242243,outdoor,Felicity,University of New Orleans,Astronomy,6,0.07765261343140709,0.09204955534710557
b,approx,8,threshold,-1,NULL,0.047619047619047616,0.0927549136915528,indoor,Tara,University of New Orleans,Astronomy,7,0.04894259523005469,0.06290257648953301
a,approx,9,threshold,0,They like being outdoors,0,0,undefined,undefined,undefined,undefined,-1,0.05241881374127751,0.03764815017696514
a,approx,9,threshold,0,They like being outdoors,0.18398467020484172,0.47619047619047616,outdoor,Nancy,University of New Orleans,German,0,0.2159602788462435,0.3055451517131288
a,approx,9,threshold,0,They like being outdoors,0.12398588579738933,0.047619047619047616,indoor,Sally,University of New Orleans,German,1,0.11348087329177733,0.10790607481825112
a,approx,9,threshold,0,They like being outdoors,0.1449813932844709,0.047619047619047616,outdoor,Katie,University of New Orleans,Astronomy,2,0.15453442629755929,0.1494965220557409
a,approx,9,threshold,0,They like being outdoors,0.1016259898924543,0.047619047619047616,indoor,Ina,University of New Orleans,Astronomy,3,0.08057625801534686,0.06092008689228046
a,approx,9,threshold,0,They like being outdoors,0.1438217184579015,0.047619047619047616,outdoor,Gwen,University of New Orleans,German,4,0.14828287987992028,0.15479717598583004
a,approx,9,threshold,0,They like being outdoors,0.10106628778013725,0.047619047619047616,indoor,Diana,University of New Orleans,German,5,0.07606306703549258,0.06268338828708717
a,approx,9,threshold,0,They like being outdoors,0.11621140577230243,0.23809523809523808,outdoor,Felicity,University of New Orleans,Astronomy,6,0.10626458915110507,0.0833552998937513
a,approx,9,threshold,0,They like being outdoors,0.08432264881050254,0.047619047619047616,indoor,Tara,University of New Orleans,Astronomy,7,0.05241881374127751,0.03764815017696514
b,approx,10,threshold,-1,NULL,0,0,undefined,undefined,undefined,undefined,-1,0.03764815017696514,0.05241881374127751
b,approx,10,threshold,-1,NULL,0.47619047619047616,0.18398467020484172,outdoor,Nancy,University of New Orleans,German,0,0.3055451517131288,0.2159602788462435
b,approx,10,threshold,-1,NULL,0.047619047619047616,0.12398588579738933,indoor,Sally,University of New Orleans,German,1,0.10790607481825112,0.11348087329177733
b,approx,10,threshold,-1,NULL,0.047619047619047616,0.1449813932844709,outdoor,Katie,University of New Orleans,Astronomy,2,0.1494965220557409,0.15453442629755929
b,approx,10,threshold,-1,NULL,0.047619047619047616,0.1016259898924543,indoor,Ina,University of New Orleans,Astronomy,3,0.06092008689228046,0.08057625801534686
b,approx,10,threshold,-1,NULL,0.047619047619047616,0.1438217184579015,outdoor,Gwen,University of New Orleans,German,4,0.15479717598583004,0.14828287987992028
b,approx,10,threshold,-1,NULL,0.047619047619047616,0.10106628778013725,indoor,Diana,University of New Orleans,German,5,0.06268338828708717,0.07606306703549258
b,approx,10,threshold,-1,NULL,0.23809523809523808,0.11621140577230243,outdoor,Felicity,University of New Orleans,Astronomy,6,0.0833552998937513,0.10626458915110507
b,approx,10,threshold,-1,NULL,0.047619047619047616,0.08432264881050254,indoor,Tara,University of New Orleans,Astronomy,7,0.03764815017696514,0.05241881374127751
a,approx,11,threshold,0,They are a student,0,0,undefined,undefined,undefined,undefined,-1,0.04368234478439793,0.028960115520742416
a,approx,11,threshold,0,They are a student,0.20153592714658206,0.47619047619047616,outdoor,Nancy,University of New Orleans,German,0,0.2428083151325338,0.3660119028965037
a,approx,11,threshold,0,They are a student,0.1312989835635211,0.047619047619047616,indoor,Sally,University of New Orleans,German,1,0.12863905461395422,0.1159587646755945
a,approx,11,threshold,0,They are a student,0.15594439431809218,0.047619047619047616,outdoor,Katie,University of New Orleans,Astronomy,2,0.17304108935701693,0.16608509136252994
a,approx,11,threshold,0,They are a student,0.10629154877103766,0.047619047619047616,indoor,Ina,University of New Orleans,Astronomy,3,0.09263807127226759,0.0626118068187574
a,approx,11,threshold,0,They are a student,0.13074701677991046,0.047619047619047616,outdoor,Gwen,University of New Orleans,German,4,0.12356906656660024,0.1190747507583308
a,approx,11,threshold,0,They are a student,0.0918784434364884,0.047619047619047616,indoor,Diana,University of New Orleans,German,5,0.06338588919624381,0.04821799099006705
a,approx,11,threshold,0,They are a student,0.10564673252027494,0.23809523809523808,outdoor,Felicity,University of New Orleans,Astronomy,6,0.08855382429258757,0.06411946145673177
a,approx,11,threshold,0,They are a student,0.07665695346409321,0.047619047619047616,indoor,Tara,University of New Orleans,Astronomy,7,0.04368234478439793,0.028960115520742416
b,approx,12,threshold,-1,NULL,0,0,undefined,undefined,undefined,undefined,-1,0.028960115520742416,0.04368234478439793
b,approx,12,threshold,-1,NULL,0.47619047619047616,0.20153592714658206,outdoor,Nancy,University of New Orleans,German,0,0.3660119028965037,0.2428083151325338
