speaker,cg,generation,sampler,sampled_w_idx,selected_u,listener_belief,speaker_belief,location_pref,name,school/company,major,w_idx,cg_prob
b,shared,4,threshold,-1,NULL,0.23809523809523808,0.125,outdoor,Felicity,University of New Orleans,Astronomy,6,0.0999000999000999
b,shared,4,threshold,-1,NULL,0.047619047619047616,0.125,indoor,Tara,University of New Orleans,Astronomy,7,0.0999000999000999
a,shared,5,threshold,0,They like being outdoors,0,0,undefined,undefined,undefined,undefined,-1,0.09081827263645445
a,shared,5,threshold,0,They like being outdoors,0.125,0.47619047619047616,outdoor,Nancy,University of New Orleans,German,0,0.1401942743184422
a,shared,5,threshold,0,They like being outdoors,0.125,0.047619047619047616,indoor,Sally,University of New Orleans,German,1,0.11407899714097898
a,shared,5,threshold,0,They like being outdoors,0.125,0.047619047619047616,outdoor,Katie,University of New Orleans,Astronomy,2,0.11317374480282977
a,shared,5,threshold,0,They like being outdoors,0.125,0.047619047619047616,indoor,Ina,University of New Orleans,Astronomy,3,0.09308872945236579
a,shared,5,threshold,0,They like being outdoors,0.125,0.047619047619047616,outdoor,Gwen,University of New Orleans,German,4,0.13640329710684923
a,shared,5,threshold,0,They like being outdoors,0.125,0.047619047619047616,indoor,Diana,University of New Orleans,German,5,0.11115031899742805
a,shared,5,threshold,0,They like being outdoors,0.125,0.23809523809523808,outdoor,Felicity,University of New Orleans,Astronomy,6,0.11027409290819702
a,shared,5,threshold,0,They like being outdoors,0.125,0.047619047619047616,indoor,Tara,University of New Orleans,Astronomy,7,0.09081827263645445
b,shared,6,threshold,-1,NULL,0,0,undefined,undefined,undefined,undefined,-1,0.09081827263645445
b,shared,6,threshold,-1,NULL,0.47619047619047616,0.125,outdoor,Nancy,University of New Orleans,German,0,0.1401942743184422
b,shared,6,threshold,-1,NULL,0.047619047619047616,0.125,indoor,Sally,University of New Orleans,German,1,0.11407899714097898
b,shared,6,threshold,-1,NULL,0.047619047619047616,0.125,outdoor,Katie,University of New Orleans,Astronomy,2,0.11317374480282977
b,shared,6,threshold,-1,NULL,0.047619047619047616,0.125,indoor,Ina,University of New Orleans,Astronomy,3,0.09308872945236579
b,shared,6,threshold,-1,NULL,0.047619047619047616,0.125,outdoor,Gwen,University of New Orleans,German,4,0.13640329710684923
b,shared,6,threshold,-1,NULL,0.047619047619047616,0.125,indoor,Diana,University of New Orleans,German,5,0.11115031899742805
b,shared,6,threshold,-1,NULL,0.23809523809523808,0.125,outdoor,Felicity,University of New Orleans,Astronomy,6,0.11027409290819702
b,shared,6,threshold,-1,NULL,0.047619047619047616,0.125,indoor,Tara,University of New Orleans,Astronomy,7,0.09081827263645445
a,shared,7,threshold,0,They are a student,0,0,undefined,undefined,undefined,undefined,-1,0.08256206603314042
a,shared,7,threshold,0,They are a student,0.125,0.47619047619047616,outdoor,Nancy,University of New Orleans,German,0,0.15664343544816098
a,shared,7,threshold,0,They are a student,0.125,0.047619047619047616,indoor,Sally,University of New Orleans,German,1,0.12607658238366573
a,shared,7,threshold,0,They are a student,0.125,0.047619047619047616,outdoor,Katie,University of New Orleans,Astronomy,2,0.1250243634616902
a,shared,7,threshold,0,They are a student,0.125,0.047619047619047616,indoor,Ina,University of New Orleans,Astronomy,3,0.1018335693561347
a,shared,7,threshold,0,They are a student,0.125,0.047619047619047616,outdoor,Gwen,University of New Orleans,German,4,0.12400299736986295
a,shared,7,threshold,0,They are a student,0.125,0.047619047619047616,indoor,Diana,University of New Orleans,German,5,0.10104574454311642
a,shared,7,threshold,0,They are a student,0.125,0.23809523809523808,outdoor,Felicity,University of New Orleans,Astronomy,6,0.10024917537108821
a,shared,7,threshold,0,They are a student,0.125,0.047619047619047616,indoor,Tara,University of New Orleans,Astronomy,7,0.08256206603314042
b,shared,8,threshold,-1,NULL,0,0,undefined,undefined,undefined,undefined,-1,0.08256206603314042
b,shared,8,threshold,-1,NULL,0.47619047619047616,0.125,outdoor,Nancy,University of New Orleans,German,0,0.15664343544816098
b,shared,8,threshold,-1,NULL,0.047619047619047616,0.125,indoor,Sally,University of New Orleans,German,1,0.12607658238366573
b,shared,8,threshold,-1,NULL,0.047619047619047616,0.125,outdoor,Katie,University of New Orleans,Astronomy,2,0.1250243634616902
b,shared,8,threshold,-1,NULL,0.047619047619047616,0.125,indoor,Ina,University of New Orleans,Astronomy,3,0.1018335693561347
b,shared,8,threshold,-1,NULL,0.047619047619047616,0.125,outdoor,Gwen,University of New Orleans,German,4,0.12400299736986295
b,shared,8,threshold,-1,NULL,0.047619047619047616,0.125,indoor,Diana,University of New Orleans,German,5,0.10104574454311642
b,shared,8,threshold,-1,NULL,0.23809523809523808,0.125,outdoor,Felicity,University of New Orleans,Astronomy,6,0.10024917537108821
b,shared,8,threshold,-1,NULL,0.047619047619047616,0.125,indoor,Tara,University of New Orleans,Astronomy,7,0.08256206603314042
undefined
